,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
autismbc,0.06790222,-0.049841404,0.060921647,0.045534138,-0.023481775,-0.09607309,0.0644818,0.060294814,-0.07480156,-0.010933987,0.09682211,-0.066122,-0.06180336,-0.008249658,-0.03605571,0.023528531,0.028371923,-0.012807578,-0.03434966,0.0013613085,0.08147558,0.061300382,0.05575016,-0.029418318,0.010331192,0.033149973,-0.06622654,0.04219938,-0.017745715,-0.00081641675,-0.06358766,0.030812403,0.037697658,-0.09832926,-0.049826957,-0.028406546,0.034700613,-0.04011123,0.01041498,0.010677742,-0.06968082,0.011781257,-0.04803558,-0.0437169,0.018897437,-0.016482864,-0.039983593,0.010796581,0.032458607,0.10546697,-0.05158704,0.017296648,0.0035702237,0.08359027,0.106416635,0.016027316,0.040283177,-0.0767972,-0.03877289,0.06596502,0.024366098,-0.0333886,-0.03490981,-0.019974288
j_mcelroy,0.020536333,-0.023278598,0.020711191,0.011260743,0.005757176,-0.019754874,0.0142494,0.0017647804,-0.036135893,0.00996367,0.036507167,-0.03839896,-0.0052113235,0.0011937765,-0.014451113,0.012557286,-0.008311391,-0.0020571551,-0.008893926,0.019939804,0.039280143,0.0058168154,0.0005017517,-0.014377341,-0.01844985,0.005509886,-0.04454143,0.0044461014,0.0015162989,0.0011637871,-0.014210658,0.026064962,0.0027034478,-0.03587051,0.00854931,-0.023804815,-0.00014421076,0.00089029735,0.012335564,0.005868543,-0.005436383,0.003376717,-0.020257438,-0.026293734,-0.0054850285,-0.0026921337,-0.0028524504,-0.025377493,0.01775326,0.030661395,0.00073989446,0.010617092,0.006417658,0.047316972,0.007531836,0.011540183,-0.0082027465,-0.015007718,-0.025970755,0.033677105,0.017421577,-0.03761742,0.01201241,0.016310776
richardzussman,0.031001745,0.0034233562,0.02810773,0.0065026614,0.012429365,-0.042736802,0.026980419,0.010215012,-0.032760825,-0.008059062,0.029755466,-0.01624996,-0.027755443,-0.011589547,-0.0022439945,0.015906489,0.019508153,-0.020285908,0.018970491,-0.0017984201,0.027904963,0.03955896,0.0061866916,-0.033125542,0.0059931697,0.0043555135,-0.036904737,0.0017144874,-0.011280278,0.016432704,0.0036458704,0.011475851,-0.00015232313,-0.0031395585,0.0033077789,-0.0006887086,0.0078099375,0.0094104605,0.017417576,0.021529047,-0.0186914,0.013118814,0.010825821,0.0011196897,-0.008447594,-0.01302219,-3.179215e-05,-0.0027227304,-0.008202431,0.027367631,0.008786877,0.015777018,0.008131598,0.032582007,0.029372022,0.011061986,0.007827458,-0.030930605,-0.009685723,0.024564208,0.011652154,-0.03701625,-0.0067318208,0.0064626583
canucksautism,0.016514314,-0.022260847,0.009894676,0.005055492,0.0060027516,-0.04328492,0.0046983045,0.00838498,-0.029731067,0.005162304,0.043606255,-0.024115121,0.00070064113,-0.035646033,0.014267016,0.01780129,0.02414956,-0.0050698025,0.004993745,0.0018217943,0.0090201,0.042069647,0.013934505,-0.012120644,0.007543897,0.027986096,-0.015512339,0.003883856,-0.01649653,-0.013727122,-0.01560989,-0.0035265882,-0.00340163,-0.025631357,-0.028068515,0.0064714993,0.018057676,0.0076961596,0.028646188,-0.002957032,-0.009744857,-0.01622256,-0.012657774,-0.019934922,0.010932945,-0.008081047,0.0078002424,-0.01134562,0.019490458,0.049833763,-0.016344162,0.01750863,0.028358812,0.059584726,0.03943281,0.013125054,0.003643829,-0.019154988,-0.020890852,0.03980017,0.010805979,-0.022875557,0.008312458,-0.011071501
globalbc,0.030527769,-0.013443845,0.028908161,-0.0076910863,-0.0060775788,-0.033254392,0.022377942,-0.00867485,-0.009008124,-0.0054313657,0.031438515,-0.022811733,-0.00044781688,-0.023690103,-0.0091538215,0.020963537,0.0012880395,0.0019379412,-0.012480323,0.021897703,0.018274747,0.020658957,0.018623536,-0.017714113,-0.012558083,0.004369547,-0.023743272,0.01444162,-0.0076016006,0.019781444,-0.0024817516,0.0016968565,-0.015188007,-0.015786484,-0.022281036,-0.005841907,0.010886967,0.0065902984,0.020110881,0.018075995,-0.011811244,-0.01137618,0.012547398,-0.028485158,0.004713857,-0.01341398,0.011478487,-0.024136772,0.016258989,0.032545827,-0.008695026,-0.014751204,-0.0031504298,0.034026973,0.0033800066,0.026356885,0.002671768,-0.030981168,-0.021490896,0.031383183,0.003297616,-0.0097242305,-0.016514465,-0.013996726
cbcnewsbc,0.041626878,-0.0055058943,0.027566703,-0.01157634,-0.0014151654,-0.039014634,0.027091205,0.019995766,-0.027975483,0.0015755469,0.028494092,-0.022160651,-0.010636808,-0.027708864,0.016985133,0.0030185087,-0.00471716,-0.01707721,-0.013304532,0.0127908485,0.0005188569,0.0261758,0.008003343,-0.020008856,0.0070002233,0.027928133,-0.023467923,0.00033919627,0.023390226,0.002931483,-0.0008586538,0.027868833,-0.033342082,-0.04186674,0.01046503,-0.0038860203,-0.0053344723,0.0046050344,0.004325188,0.0020034458,-0.019893313,0.012286316,-0.005346956,-0.029277088,-0.0029590223,0.0046023824,-0.0031380777,-0.024992436,0.003434557,0.027489306,-0.009653953,-0.0029663474,0.020989375,0.03364433,0.014242095,0.022710755,0.016245112,-0.030856159,-0.027441405,0.025811384,-0.010165608,-0.021162061,-0.016704181,0.018155396
bcands1,0.04318969,-0.0105077,0.038886562,-0.004729846,0.002716329,-0.04380393,0.010519429,0.023420217,-0.019353293,-0.008241789,0.012427473,-0.045974385,-0.020164633,-0.0051030125,0.0062725362,0.0029365025,-0.009731555,0.0022637981,-0.0062634996,0.016876506,0.037993714,0.015411991,0.03186391,-0.021342278,-0.021372309,0.029590584,-0.0245186,0.024006732,0.006559282,0.01232891,-0.024765693,0.013093598,-0.02649274,-0.029012501,-0.015781866,-0.021091219,-0.013495343,0.015202374,0.01830401,0.012196137,-0.020494828,0.015629768,-0.017490111,-0.012925946,0.014707271,0.0072565265,0.013417537,-0.02108958,0.013125209,0.03627553,-0.024166174,-0.005452253,0.02056829,0.058369964,0.050356306,0.038474374,-0.0056796,-0.0036496609,-0.02713525,0.021464234,0.013402519,-0.01827989,0.0069345976,0.012222358
pacificautism,0.03836602,-0.0076449825,0.034567963,-0.006503338,0.018995358,-0.061157465,0.035054427,0.013434874,-0.034550942,-0.008356397,0.044113323,-0.048439663,-0.0006603796,-0.032455035,0.011516203,0.021878999,0.023620997,-0.017381625,0.012021896,0.035722468,0.032544613,0.031011578,0.029246975,-0.0052550235,0.011393134,0.045402132,-0.019788047,0.02164761,0.0190473,0.00075514964,-0.016269062,0.018677691,-0.017115595,-0.031382408,-0.027928159,-0.029094791,-0.0039558713,0.015147156,0.007633669,0.0035880583,-0.0020617023,0.0011299204,-0.004869719,-0.011904584,0.018344916,-0.0007981127,0.0015442289,-0.014609715,0.02579592,0.04308564,-0.012140657,0.012757274,0.02809915,0.049523637,0.027697286,0.027114676,0.022223487,-0.0037798034,-0.016812129,0.013422072,0.006871137,-0.029758474,0.009112554,-0.014422694
citynewsvan,0.039893962,-0.010464405,0.022267543,-0.0069006663,-0.008193708,-0.04151285,-0.00017322823,-0.0136299115,-0.02918307,0.016851595,0.032912996,-0.026086008,-0.009373432,-0.0028758396,0.0019400365,0.0054693576,0.011542129,-0.002776432,-0.0064897803,0.006188676,0.030199027,0.031456195,-0.004050181,-0.022223275,-0.001422788,0.020021886,-0.039279547,0.019672165,-0.00410089,0.010404559,0.0065768794,0.012245094,-0.007833385,-0.024317792,-0.02461048,-0.0066632396,-0.0032571673,-0.020554334,0.022494245,-0.0025703977,0.0043427777,-0.0074782777,-0.017143972,-0.029859675,0.018152414,-0.015407393,0.010212959,-0.015218241,0.024819078,0.03639402,0.019082945,0.012826026,-0.0014806698,0.008475946,0.0061525875,0.014463377,0.013519617,-0.005720904,-0.015469266,0.024153007,-0.0012674936,-0.031381734,0.010004327,-0.013540882
inclusionca,0.014561837,-0.03656729,0.016359469,0.013025454,0.002036946,-0.020104665,0.025085965,0.014609464,-0.01876948,0.018076895,0.01662022,-0.01613894,-0.036136586,-0.012198368,-0.0047282064,0.022118784,0.022594266,-0.016126122,-0.005132899,0.019245418,0.020132193,0.018534917,0.031405836,-0.02843031,0.010882859,0.029377652,-0.023946578,0.013592267,0.0047606216,0.0026271867,-0.02025695,0.02113936,-0.019716911,-0.033105366,-0.029945353,-0.0332062,-0.003572199,-0.014293385,0.006182491,0.005827374,-0.026988314,0.0024530739,0.0067217564,-0.02163255,-0.0033206716,-0.005047929,0.0028066551,-0.026883626,0.004754165,0.031023901,-0.006967804,-0.020605803,0.032989144,0.047132857,0.022292266,0.034074258,0.010921298,-0.0015347288,-0.020465612,0.034090098,0.006993717,-0.04164459,-0.007496069,0.023730243
